Team,colors
Alpine,#fd4bc7
Alfa Romeo,#981e32
Mercedes,#c6c6c6
Ferrari,#a6051a
williams,#041e42
Aston Martin,#00352f
Red Bull,#121f45
Alpha Tauri,#00293f
Mclaren,#ff8000
Haas,#ffffff
