driver,points,color
LECLERC,26,#d40000
SAINZ,18,#d40000
HAMILTON,15,#26fae4
RUSSELL,12,#26fae4
MAGNUSSEN,10,#ffffff
BOTTAS,8,#800000
OCON,6,#ff0783
TSUNODA,4,#5090a0
ALONSO,2,#ff0783
ZHOU,1,#800000
SCHUMACHER,0,#ffffff
STROLL,0,#00ff00
ALBON,0,#00009c
RICCIARDO,0,#ff7518
NORRIS,0,#ff7518
LATIFI,0,#00009c
HULKENBERG,0,#00ff00
PEREZ,0,#ffff00
VERSTAPPEN,0,#ffff00
GASLY,0,#5090a0
